State;Code;Region;Developement;Population;Infectious and parasitic diseases;Respiratory Infectious ;Maternal conditions;Neonatal conditions;Nutritional deficiencies;Malignant neoplasms;Other neoplasms;Diabetes mellitus;Endocrine, blood, immune disorders;Mental and substance use disorders;Neurological conditions;Sense organ diseases;Cardiovascular diseases;Respiratory diseases;Digestive diseases;Genitourinary diseases;Skin diseases;Musculoskeletal diseases;Congenital anomalies;Oral conditions;Sudden infant death syndrome;Road injury;Poisonings;Falls;Fire, heat and hot substances;Drowning;Exposure to mechanical forces;Natural disasters;Other unintentional injuries;Self-harm;Interpersonal violence;Collective violence and legal intervention
Grenada;GRD;America;Developing;107;0;0,1;0;0;0;0,2;0;0,1;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guatemala;GTM;America;Developing;16582;5,5;7,2;0,3;4,8;2,2;8;0,5;6,6;0,7;1,5;1,2;0;13,8;2,8;6,3;3,8;0,1;0,3;1,6;0;0,1;2,7;0,2;0;0,1;0,3;1,1;0;3,4;0,4;4,3;0
Guinea;GIN;Africa;Developing;12396;36;14;2,7;10,4;2,3;4,9;0,2;2,1;1,9;0,3;1,4;0;17,4;3;5,2;1,7;0,2;0,1;2,4;0;0,1;3,6;0,4;0,9;0,6;0,9;0,7;0;1,8;0,8;1,1;0
Guinea-Bissau;GNB;Africa;Developing;1816;5,9;1,7;0,2;2,2;0,2;0,7;0;0,3;0,1;0;0,1;0;2,1;0,3;0,5;0,2;0;0;0,4;0;0;0,5;0;0,1;0,1;0,1;0,1;0;0,2;0,1;0,2;0
Guyana;GUY;America;Developing;773;0,6;0,3;0;0,3;0,1;0,5;0;0,5;0,1;0;0,1;0;2,3;0,2;0,4;0,2;0;0;0,1;0;0;0,1;0;0;0;0,1;0;0;0,1;0,2;0,1;0
Haiti;HTI;America;Developing;10847;12,2;7;1;6,2;1,4;6,8;0,2;4;1;0,4;1,8;0;26,6;3,1;4;2,5;0,1;0,2;1,8;0;0,1;1,7;0,3;0,4;0,6;1,6;0,7;0,5;1,4;1,3;3;0
Honduras;HND;America;Developing;9113;2,5;0,8;0,3;1,6;0,3;5,5;0;0,8;0,3;0,3;1,6;0;9,9;1,7;2,8;2,3;0;0,2;0,9;0;0;1,4;0;0,2;0;0,2;0,1;0;0,4;0,3;5,1;0
Hungary;HUN;Europe;Developed;9753;0,7;1,3;0;0,2;0,1;33;0,6;2,8;0,5;0,7;4,7;0;61,5;6,5;6,3;1,8;0,1;0,4;0,3;0;0;0,7;0;1,7;0,1;0,1;0,1;0;0,8;1,9;0,1;0
Iceland;ISL;Europe;Developed;332;0;0,1;0;0;0;0,7;0;0;0;0;0,3;0;0,7;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
India;IND;Asia;Developing;1324171;1199,3;617,2;40,8;549,7;82,9;815,1;14,3;309;21,1;31,1;209;0;2590,1;1017,2;509,9;304,7;13,2;49,2;105,1;0,5;5,7;299,1;31,3;206,3;45,2;64;19;0;146,9;215,9;54,9;0,7
Indonesia;IDN;Asia;Developing;261115;254,9;50,2;9,3;53,4;18,4;216,3;2,8;102,8;7,4;2,1;64,3;0;655,1;103,7;136,4;50,7;3,3;1,7;17,3;0;0,8;41,9;1,1;18,5;1,9;8,6;2,7;0,1;16,5;9;11,9;0
Iran (Islamic Republic of);IRN;Asia;Developing;80277;8,8;10,1;0,2;10;0,3;59,7;0,8;14,8;1,7;2,2;23,8;0;160,8;14,6;9,2;11,6;0,5;0,5;4,1;0;0,1;21,8;1;2,2;1,5;0,8;0,3;0;2,6;3,3;3,6;0,6
Iraq;IRQ;Asia;Developing;37203;5,8;7,4;0,6;17,8;0,3;21,2;1,6;7,3;0,8;0,5;4,3;0;51,6;3,6;1,9;4,8;0,1;0,1;5,8;0;0,2;6,2;0,2;0,6;0,6;0,6;0,8;0;1,9;1,1;5,8;36,2
Ireland;IRL;Europe;Developed;4726;0,3;1,2;0;0,1;0;9,2;0,2;0,6;0,3;0,3;3,4;0;8,7;2,7;1,2;0,7;0,1;0,2;0,2;0;0;0,1;0;0,3;0;0,1;0;0;0,2;0,5;0;0
Israel;ISR;Asia;Developed;8192;1,6;2,4;0;0,2;0,2;12,1;0,3;2,7;1;0,2;3,2;0;10,6;2,8;1,7;2,4;0,5;0,4;0,3;0;0;0,2;0;0,1;0;0;0;0;0,8;0,4;0,1;0
Italy;ITA;Europe;Developed;59430;13,8;14,2;0;0,9;2,3;173,5;9;22,1;7,9;1,7;48,9;0,1;229,8;41,3;26,2;17,6;1,3;3,6;1,6;0;0;3,1;0,2;3,9;0,2;0,4;0,4;0,2;10,2;4,9;0,5;0
