id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7376799,Spacious & cosy apartment - breakfast included,38585553,Rembert,,Brugse Poort - Rooigem,51.06233,3.69324,Private room,60,1,1,2016-07-25,0.03,1,0
7378878,Family house in Ghent city center,138572,Tom,,Binnenstad,51.04502,3.73053,Entire home/apt,110,5,5,2018-09-30,0.59,1,37
7410044,Cosy appartment with view on the old harbour,9257254,Ruben,,Sluizeken - Tolhuis - Ham,51.06657,3.73391,Entire home/apt,85,2,0,,,1,0
7423652,Apartment with large terrace,2227407,Eveline,,Watersportbaan - Ekkergem,51.05161,3.70589,Entire home/apt,40,4,7,2016-08-11,0.15,1,0
7446561,modern apartment with balcony,2659418,Evy,,Macharius - Heirnis,51.04821,3.73922,Entire home/apt,75,2,1,2018-07-29,0.11,1,0
7486015,Charming house in city centre Ghent,7224371,Griet,,Rabot  - Blaisantvest,51.06045,3.71257,Entire home/apt,126,3,6,2017-07-16,0.13,1,0
7494242,Cosy apartment in historic Ghent,38887558,Lien,,Elisabethbegijnhof - Papegaai,51.05863,3.71896,Entire home/apt,70,2,9,2015-12-10,0.20,1,0
7548104,Cosy house in the middle of Gent,39554558,Annelies,,Binnenstad,51.04767,3.73729,Entire home/apt,55,2,7,2016-03-22,0.16,1,166
7556348,RENOVATED DUPLEX IN THE CENTRE,3362271,Céline,,Sluizeken - Tolhuis - Ham,51.06449,3.72623,Private room,57,2,107,2019-04-14,2.40,1,332
7568806,Citycentre design app+garage+breakf,39681783,Designer'S Republic,,Binnenstad,51.05809,3.72714,Entire home/apt,115,1,318,2019-03-30,7.05,1,288
7594899,Cozy appartment in the Center,3200094,Jóhanna Kristbjörg,,Binnenstad,51.04844,3.73085,Entire home/apt,60,4,0,,,1,0
7668779,Loft Gent Centum,28305727,Gert,,Rabot  - Blaisantvest,51.05793,3.70937,Entire home/apt,100,3,0,,,1,0
7683600,Studio Guarda La Fotografia - Ghent,40352209,Filip,,Binnenstad,51.05123,3.7253,Entire home/apt,89,1,155,2019-04-07,3.64,2,346
7722842,Gezellig huisje,8648761,Sara,,Elisabethbegijnhof - Papegaai,51.05871,3.71637,Entire home/apt,40,2,16,2016-09-13,0.36,1,0
7820905,Gerenoveerd centrumappartement,41176204,Kristof,,Binnenstad,51.05608,3.73113,Entire home/apt,60,4,3,2016-10-25,0.07,1,0
7864628,"Bright family house, walk.di center",39576860,Felix,,Brugse Poort - Rooigem,51.05927,3.69448,Entire home/apt,87,1,0,,,1,0
7906845,"Complete renovated house, spacious!",7679698,Wim,,Brugse Poort - Rooigem,51.06196,3.69728,Entire home/apt,120,2,59,2019-03-08,1.33,2,309
7906941,"Volledig huis,alle comfort,privacy!",7679698,Wim,,Brugse Poort - Rooigem,51.06093,3.69707,Entire home/apt,120,2,84,2019-04-14,1.92,2,309
7933262,Bright apartment in the centre,39174935,Elisabeth,,Binnenstad,51.0517,3.72632,Entire home/apt,150,2,72,2019-03-17,1.66,1,87
8066950,"Sleepin'Bont, a central & spacious spot",42607240,Karen,,Macharius - Heirnis,51.05271,3.73712,Entire home/apt,75,2,94,2019-04-06,2.90,1,50
8067694,Quiet room(s) with private terrace,42611651,Katrijn,,Macharius - Heirnis,51.04507,3.74132,Private room,65,2,34,2018-07-27,0.78,1,105
8073202,Spacious app in the heart of Ghent,42647013,Anna-Matilde,,Binnenstad,51.0515,3.72582,Entire home/apt,125,3,7,2016-05-29,0.16,1,0
8077970,Loft Lien in Gent Centrum,42670243,Herlinde,,Watersportbaan - Ekkergem,51.05189,3.70813,Private room,80,2,21,2018-12-09,0.50,1,339
8167920,Family home w garden in city center,2807813,Lore,,Macharius - Heirnis,51.04824,3.74436,Entire home/apt,85,5,21,2019-01-05,0.48,1,0
8270431,Romantic holidayhouse Ghent - Historical Center,43608821,Vincent,,Sluizeken - Tolhuis - Ham,51.06146,3.72745,Entire home/apt,85,2,51,2019-04-14,1.20,3,352
8282345,B&B Halewijn,43671238,Christine,,Drongen,51.05343,3.61825,Private room,91,1,7,2019-03-17,0.16,2,332
8296779,B&B Halewijn,43671238,Christine,,Drongen,51.05164,3.61841,Private room,95,1,7,2019-01-01,0.16,2,340
8338763,Romantic suite along the waterfront,43955111,Stijn En Edith,,Brugse Poort - Rooigem,51.06295,3.70238,Private room,75,2,19,2018-07-22,0.44,2,0
8347942,Spacious loft in the city centre,39837750,Sophie,,Elisabethbegijnhof - Papegaai,51.05357,3.71907,Entire home/apt,80,2,204,2019-04-06,5.86,1,54
8366610,Sunny & Stylish Loft in the Heart of the Old Town.,20327558,Dirk,,Binnenstad,51.05367,3.72258,Entire home/apt,119,2,114,2019-04-07,2.62,1,333
8389171,"Room by the oldtown, bio breakfast",25856303,Liene,,Binnenstad,51.05603,3.73189,Private room,47,1,163,2018-08-24,3.87,1,0
8480136,Ruime gezinswoning met stadstuin,6552370,Heidi,,Ledeberg,51.03867,3.74253,Entire home/apt,120,2,9,2019-01-03,0.24,1,9
8512243,Apartment in the Prinsenhof quarter,44823655,Francis,,Elisabethbegijnhof - Papegaai,51.0572,3.71549,Private room,78,1,6,2017-08-14,0.15,2,258
8532680,Beautiful apartment in city centre!,8528859,Ines,,Macharius - Heirnis,51.05543,3.73398,Entire home/apt,110,1,58,2019-04-14,1.36,1,335
8685709,Citycenter trendy rooftop apartment,33050887,Damien,,Binnenstad,51.05203,3.72166,Entire home/apt,75,1,181,2019-03-30,4.21,5,329
8734636,Peacefull located room in Gent,19441734,Liesbeth,,Oud Gentbrugge,51.04105,3.74821,Private room,29,2,11,2019-01-02,0.29,1,107
8744894,Cozy Apartment in City Harbour with Garden,29466391,Pello,,Binnenstad,51.05529,3.73244,Entire home/apt,125,2,74,2019-04-12,3.54,1,108
8746710,Spacious Modern Apartment in City Center,34908543,Jonas,,Elisabethbegijnhof - Papegaai,51.05578,3.71422,Entire home/apt,120,1,67,2019-04-14,1.56,1,354
8821780,Cosy house near the center.,46210588,Marlies,,Dampoort,51.05685,3.74483,Entire home/apt,40,1,30,2017-11-05,0.74,1,0
8932590,Elegant mansion in city center,7566866,Jill,,Elisabethbegijnhof - Papegaai,51.05431,3.71096,Private room,75,2,13,2016-06-07,0.31,1,0
8963647,2 Bedroom apartment centre Ghent,14549050,Wouter,,Elisabethbegijnhof - Papegaai,51.05376,3.71152,Entire home/apt,140,2,69,2019-03-12,1.84,1,271
8988182,Central flat 2 beds - 2 baths,46953923,Suzanne,,Binnenstad,51.05161,3.72583,Entire home/apt,95,2,75,2019-02-24,1.79,2,217
9024234,Modern apartment in Ghent,7645281,Piet,,Binnenstad,51.04132,3.72246,Entire home/apt,110,1,17,2016-05-22,0.41,1,0
