id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19105100,Spacious 2BR Vacation Apt Near European Commission,19427428,Sweet Inn,,Ixelles,50.83627,4.37413,Entire home/apt,115,2,7,2019-04-07,0.37,65,220
19107833,Grande chambre avec mezzanine,133503033,Nathalie,,Forest,50.82303,4.32893,Private room,27,1,5,2017-11-15,0.23,1,0
19110306,Tropical Dream Brussels,11499670,Mela,,Jette,50.86993,4.32529,Private room,50,3,2,2018-04-29,0.12,1,90
19112509,Tasteful room with two beds in a cosy appartment.,38452538,Dimitri,,Woluwe-Saint-Lambert,50.84579,4.43002,Private room,30,2,2,2017-07-01,0.09,1,0
19118909,Charming room in a super well equipped flat,771401,Geoffrey,,Watermael-Boitsfort,50.80629,4.40621,Private room,30,2,2,2018-07-19,0.10,1,255
19120099,Be my guest,108430418,Alexandrina,,Etterbeek,50.83596,4.3872,Private room,69,1,7,2018-10-07,0.31,2,175
19124382,"",66803642,Nicolas,,Bruxelles,50.84739,4.39022,Private room,25,1,4,2017-06-23,0.18,1,0
19125217,Super 2 chambres tout confort 6 personnes,39944963,Esmara Et Philippe,,Bruxelles,50.84897,4.35301,Entire home/apt,170,2,20,2019-03-28,0.92,10,66
19127924,Bright 80m2 apartment in trendy place Chatelain,9641890,Yoann,,Ixelles,50.82235,4.35815,Entire home/apt,100,2,0,,,1,0
19128710,Bright&charming place in Brussels,28880388,Elwira,,Bruxelles,50.8778,4.34832,Entire home/apt,70,2,24,2019-04-10,1.61,3,338
19129926,Super Appartement à St-Catherine en plein centre !,46395816,Stephane,,Bruxelles,50.85279,4.34496,Entire home/apt,82,5,1,2017-06-16,0.04,1,0
19130473,Cosy Loft - 15min walk from city center,17404800,Sébastien,,Molenbeek-Saint-Jean,50.8498,4.32717,Private room,35,3,75,2019-03-23,3.35,1,19
19132866,Very Nice Flat 1 bedrooms Ixelles Brugman Tenbosch,4174277,David,,Ixelles,50.81764,4.36471,Entire home/apt,65,4,2,2019-01-03,0.13,1,0
19135224,apartment & balcony-garden view-XL/uccle/St Gilles,1967721,Céline,,Forest,50.81461,4.34609,Entire home/apt,50,2,25,2019-03-10,1.14,2,1
19137809,Lovely room in colourful house - WOMEN ONLY,10730992,Caren,,Ixelles,50.8201,4.38626,Private room,20,7,4,2018-11-30,0.20,2,12
19139358,Chambre dans une grande maison jrd,131083935,Fayssal M,,Forest,50.81861,4.34057,Private room,35,1,0,,,1,0
