id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8094749,Amazing Loft (from TV and fashion shoots),2793445,Christophe,,Haringrode,51.20531,4.42083,Entire home/apt,171,1,11,2019-04-14,0.57,1,185
8104534,Art Tout Yurt,20572492,JackieJ,,Borgerhout Intra Muros Zuid,51.21096,4.44197,Entire home/apt,36,1,152,2019-04-15,3.46,4,361
8146749,"Mooi,klassiek gemeubeld appartement,4à5pers.",24079164,Joris,,Amandus - Atheneum,51.22493,4.41644,Entire home/apt,90,1,8,2018-03-04,0.48,1,0
8179789,2 nd  flr in charming house 1927,4851422,Ann,,Kiel,51.18526,4.38528,Private room,40,6,0,,,2,0
8240785,Luchtige kamer in Art Nouveau huis,19521902,Harry,,Harmonie,51.20373,4.40558,Private room,46,2,31,2019-03-31,0.73,1,347
8282928,cosy appartement in Antwerp Zurenborg,1542786,Veronica,,Haringrode,51.20571,4.42557,Entire home/apt,50,14,0,,,1,108
8286099,City centre room with river view,6792792,Kseniia And William,,Sint-Andries,51.21811,4.39383,Private room,43,1,309,2019-04-05,7.04,1,26
8302863,arty house in the centre of antwerp,6592825,Flora,,Theaterbuurt-Meir,51.21473,4.40224,Private room,33,2,0,,,1,0
8315962,spacious room - centre of Antwerp,43841238,Gregory,,Amandus - Atheneum,51.2204,4.42643,Private room,20,2,1,2015-09-25,0.02,1,0
8360000,Cosy flat in the historic old city centre.,44063080,Katja,,Historisch Centrum,51.22361,4.4035,Entire home/apt,58,2,104,2019-04-16,2.39,1,295
8366368,Gezellige Klassiek woning S,30007259,Carlo En Johnny,,Borgerhout Extra Muros,51.20984,4.45306,Private room,35,1,127,2019-04-19,2.92,2,304
8378393,Rustige buurt - buiten stadcentrum,43269746,Freddy,,Ekeren Centrum,51.28618,4.41966,Private room,24,1,19,2019-04-09,0.78,2,311
8384067,Perfectly located bright loft,10038260,Christophe,,Zuid,51.21342,4.39096,Entire home/apt,79,2,3,2016-06-05,0.08,2,0
8423451,Cosy apartment Zurenborg,8323768,Anke,,Zurenborg,51.20702,4.43058,Entire home/apt,38,2,2,2015-11-28,0.05,1,0
8436077,Antwerp // homy // city center,20323687,Zoë,,Amandus - Atheneum,51.22651,4.42413,Private room,30,2,8,2015-12-24,0.19,1,0
8473696,Home-at-Mas,44623726,Martin,,Eilandje,51.22846,4.40489,Entire home/apt,93,1,50,2019-03-31,1.20,1,359
8499321,"Cozy, light & centrally located ap.",44756215,Sebastien,,Harmonie,51.20898,4.40668,Entire home/apt,70,2,30,2019-01-31,0.72,1,249
8514381,Renovated Studio in the centre,44834170,Leni,,Stadspark,51.21777,4.41577,Entire home/apt,48,2,152,2019-04-14,3.58,1,254
